"Sample_Name"	"Sample_ID"	"Stream"	"Region"	"LeafLeafLeaf"	"Vegetation"	"Delta13_C_VPDB_corr"	"log_molar_CN"	"Shredder"	"Species"	"Order"	"T"	"Species_All_1"	"Type"	"EA_C_Percent_corr"	"EA_N_Percent_corr"	"Delta15_N_Air_corr"	"Delta13_C_VPDB_corr_corr"
"44"	"Leaf-TG3F-139"	"TG3F139"	"TG3"	"North"	"Ash"	"forested"	-30.42	2.98856467268876	"N"	NA	NA	"sample"	"Ash"	"Leaf"	43.42	2.55	-0.23	-30.42
"45"	"Leaf-TI1F-232"	"TI1F232"	"TI1"	"South"	"Alder"	"forested"	-29.77	2.86808627588717	"N"	NA	NA	"sample"	"Alder"	"Leaf"	46.19	3.06	-1.77	-29.77
"46"	"Leaf-TI1A-215-Alder"	"TI1A215"	"TI1"	"South"	"Alder"	"non-forested"	-28.59	2.84836504817902	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	47.36	3.2	-1.47	-28.59
"47"	"Leaf-TG3F-138"	"TG3F138"	"TG3"	"North"	"Ash"	"forested"	-30.52	3.03138218077301	"N"	NA	NA	"sample"	"Ash"	"Leaf"	43.72	2.46	-0.32	-30.52
"48"	"Leaf-TI2A-261-Ash"	"TI2A261"	"TI2"	"South"	"Ash"	"non-forested"	-30.91	2.83325642405519	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	43.88	3.01	-1.25	-30.91
"49"	"Leaf-TI1F-239-Ash"	"TI1F239"	"TI1"	"South"	"Ash"	"forested"	-30.79	2.90483886991204	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	46.04	2.94	-2.18	-30.79
"50"	"Leaf-TI1A-205"	"TI1A205"	"TI1"	"South"	"Alder"	"non-forested"	-29.87	2.81952825922128	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.87	3.19	-1.62	-29.87
"52"	"Leaf-TI3A-302"	"TI3A302"	"TI3"	"South"	"Alder"	"non-forested"	-29.73	2.90998213978083	"N"	NA	NA	"sample"	"Alder"	"Leaf"	46.12	2.93	-1.75	-29.73
"53"	"Leaf-TI3F-332"	"TI3F332"	"TI3"	"South"	"Ash"	"forested"	-30.55	2.98417920691815	"N"	NA	NA	"sample"	"Ash"	"Leaf"	43.23	2.55	-1.83	-30.55
"54"	"Leaf-TG4A-163"	"TG4A163"	"TG4"	"North"	"Ash"	"non-forested"	-30.47	2.91998630775415	"N"	NA	NA	"sample"	"Ash"	"Leaf"	42.45	2.67	-0.57	-30.47
"55"	"Leaf-TG1F-45-Alder"	"TG1F45"	"TG1"	"North"	"Alder"	"forested"	-29.42	2.92238526639472	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	45.58	2.86	0.09	-29.42
"56"	"Leaf-TI1A-213-Alder"	"TI1A213"	"TI1"	"South"	"Alder"	"non-forested"	-29.23	2.87594181594925	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.25	3.04	-1.56	-29.23
"57"	"Leaf-TI3F-335-Ash"	"TI3F335"	"TI3"	"South"	"Ash"	"forested"	-30.52	3.11024942780966	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	45	2.34	-1.76	-30.52
"58"	"Leaf-TI3A-303"	"TI3A303"	"TI3"	"South"	"Alder"	"non-forested"	-29.22	2.95881609284358	"N"	NA	NA	"sample"	"Alder"	"Leaf"	46.61	2.82	-1.97	-29.22
"59"	"Leaf-TG3F-141-Ash"	"TG3F141"	"TG3"	"North"	"Ash"	"forested"	-29.98	3.10533871154132	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	43.44	2.27	-0.13	-29.98
"60"	"MZB-TI2F-288-Nemoura"	"TI2F288"	"TI2"	"South"	"no-leaf"	"forested"	-26.47	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	44.63	NA	NA	-27.56
"61"	"MZB-TI2F-281-Nemoura"	"TI2F281"	"TI2"	"South"	"no-leaf"	"forested"	-26.61	1.54181158842892	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	45	11.23	-3.36	-27.7
"62"	"MZB-TG4F-187-Nemoura"	"TG4F187"	"TG4"	"North"	"no-leaf"	"forested"	-26.94	1.51335092482664	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	40.31	10.35	-0.63	-28.03
"63"	"MZB-TI2F-284-Nemoura"	"TI2F284"	"TI2"	"South"	"no-leaf"	"forested"	-26.71	1.58826310856736	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	42.9	10.22	-3.36	-27.8
"64"	"MZB-TI2F-280-Nemoura"	"TI2F280"	"TI2"	"South"	"no-leaf"	"forested"	-26.89	1.58990920166274	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	44.19	10.51	-3.69	-27.98
"65"	"MZB-TG4F-192-Nemoura"	"TG4F192"	"TG4"	"North"	"no-leaf"	"forested"	-27.75	1.48073389405482	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	43.05	11.42	-1.36	-28.84
"66"	"MZB-TG3F-133-Protonemura"	"TG3F133"	"TG3"	"North"	"no-leaf"	"forested"	-30.81	1.44533680768743	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	38.46	10.57	1.71	-31.9
"67"	"MZB-TI2F-278-Nemoura"	"TI2F278"	"TI2"	"South"	"no-leaf"	"forested"	-27.04	1.55932842180024	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	43.43	10.65	-3.44	-28.13
"68"	"MZB-TG3F-134-Protonemura"	"TG3F134"	"TG3"	"North"	"no-leaf"	"forested"	-31.9	1.44511388613763	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	44.09	12.12	1.52	-32.99
"69"	"MZB-TG3F-143-Protonemura"	NA	"TG3"	"North"	NA	"forested"	-29.03	1.4546814298019	NA	NA	NA	"sample"	NA	"MZB"	40.18	10.94	0.99	NA
"70"	"Leaf-TI3A-312-Ash"	"TI3A312"	"TI3"	"South"	"Ash"	"non-forested"	-30.58	3.02473528646775	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	43.96	2.49	-1.73	-30.58
"71"	"Leaf-TG1F-46-Alder"	"TG1F46"	"TG1"	"North"	"Alder"	"forested"	-30.24	2.87646930340599	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	44.6	2.93	-0.42	-30.24
"72"	"Leaf-TG1F-48-Ash"	"TG1F48"	"TG1"	"North"	"Ash"	"forested"	-30.02	3.04220848404809	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	42.04	2.34	0.53	-30.02
"73"	"Leaf-TI1A-212"	"TI1A212"	"TI1"	"South"	"Ash"	"non-forested"	-30.62	2.890153858255	"N"	NA	NA	"sample"	"Ash"	"Leaf"	43.98	2.85	-1.48	-30.62
"74"	"Leaf-TG2A-71-Alder"	"TG2A71"	"TG2"	"North"	"Alder"	"non-forested"	-29.3	3.01841038199753	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	44.56	2.54	-0.75	-29.3
"75"	"Leaf-TG3F-133"	"TG3F133"	"TG3"	"North"	"Alder"	"forested"	-30.4	2.90687492815411	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.82	2.92	-0.89	-30.4
"76"	"Leaf-TG2F-85"	"TG2F85"	"TG2"	"North"	"Alder"	"forested"	-29.9	3.00449136249807	"N"	NA	NA	"sample"	"Alder"	"Leaf"	42.56	2.46	-0.5	-29.9
"77"	"Leaf-TG1F-38"	"TG1F38"	"TG1"	"North"	"Alder"	"forested"	-29.48	2.85363526643385	"N"	NA	NA	"sample"	"Alder"	"Leaf"	46.42	3.12	-0.27	-29.48
"78"	"Leaf-TG3F-140"	"TG3F140"	"TG3"	"North"	"Ash"	"forested"	-30.21	3.01834548836898	"N"	NA	NA	"sample"	"Ash"	"Leaf"	43.68	2.49	-0.46	-30.21
"79"	"Leaf-TG3A-120-Alder"	"TG3A120"	"TG3"	"North"	"Alder"	"non-forested"	-29.57	2.88717413355155	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	45.08	2.93	-0.87	-29.57
"80"	"Leaf-TG4A-160"	"TG4A160"	"TG4"	"North"	"Alder"	"non-forested"	-29.03	2.97323297782465	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.61	2.72	-0.82	-29.03
"81"	"Leaf-TG2A-69-Alder"	"TG2A69"	"TG2"	"North"	"Alder"	"non-forested"	NA	NA	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	NA	5.12	-1.08	NA
"82"	"Leaf-TG3A-111"	"TG3A111"	"TG3"	"North"	"Alder"	"non-forested"	-29.8	2.90943951930352	"N"	NA	NA	"sample"	"Alder"	"Leaf"	41.69	2.65	-0.78	-29.8
"83"	"Leaf-TG4A-159"	"TG4A159"	"TG4"	"North"	"Alder"	"non-forested"	-29.09	2.89446853598383	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.72	2.95	-0.65	-29.09
"84"	"Leaf-TG3A-113"	"TG3A113"	"TG3"	"North"	"Ash"	"non-forested"	-30.38	2.91523590295457	"N"	NA	NA	"sample"	"Ash"	"Leaf"	40.35	2.55	-0.04	-30.38
"85"	"Leaf-TI1F-230"	"TI1F230"	"TI1"	"South"	"Alder"	"forested"	-29.79	2.96318099213125	"N"	NA	NA	"sample"	"Alder"	"Leaf"	49.47	2.98	-1.7	-29.79
