"Sample_Name"	"Sample_ID"	"Stream"	"Region"	"LeafLeafLeaf"	"Vegetation"	"Delta13_C_VPDB_corr"	"log_molar_CN"	"Shredder"	"Species"	"Order"	"T"	"Species_All_1"	"Type"	"EA_C_Percent_corr"	"EA_N_Percent_corr"	"Delta15_N_Air_corr"	"Delta13_C_VPDB_corr_corr"
"249"	"Leaf-TI2A-259"	"TI2A259"	"TI2"	"South"	"Ash"	"non-forested"	-30.77	2.82961999505938	"N"	NA	NA	"sample"	"Ash"	"Leaf"	46.19	3.18	-1.25	-30.77
"250"	"Leaf-TI4F-381-Alder"	"TI4F381"	"TI4"	"South"	"Alder"	"forested"	-28.93	2.90356137887572	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	48.64	3.11	-1.36	-28.93
"251"	"Leaf-TI3F-333-Ash"	"TI3F333"	"TI3"	"South"	"Ash"	"forested"	-30.56	3.03342861588478	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	44.7	2.51	-1.78	-30.56
"252"	"Leaf-TI4A-350"	"TI4A350"	"TI4"	"South"	"Alder"	"non-forested"	-28.84	2.91840696251067	"N"	NA	NA	"sample"	"Alder"	"Leaf"	49.05	3.09	-1.7	-28.84
"253"	"Leaf-TI2F-283"	"TI2F283"	"TI2"	"South"	"Ash"	"forested"	-30.77	2.95275984671688	"N"	NA	NA	"sample"	"Ash"	"Leaf"	47.15	2.87	-1.92	-30.77
"254"	"Leaf-TI2F-288-Ash"	"TI2F288"	"TI2"	"South"	"Ash"	"forested"	-30.03	3.06210496952419	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	47.1	2.57	-1.28	-30.03
"255"	"Leaf-TI4F-381-Ash"	"TI4F381"	"TI4"	"South"	"Ash"	"forested"	-30.81	2.97264289671483	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	44.41	2.65	-1.72	-30.81
"256"	"Leaf-TI4A-358-Ash"	"TI4A358"	"TI4"	"South"	"Ash"	"non-forested"	-30.61	2.94318891845512	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	46.05	2.83	-1.5	-30.61
"257"	"Leaf-TI3F-333-Alder"	"TI3F333"	"TI3"	"South"	"Alder"	"forested"	-29.66	2.93683156351801	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.89	2.9	-1.92	-29.66
"258"	"Leaf-TI2A-264-Ash"	"TI2A264"	"TI2"	"South"	"Ash"	"non-forested"	-30.91	2.88836336367263	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	46.52	3.02	-1.31	-30.91
"259"	"Leaf-TI4F-379"	"TI4F379"	"TI4"	"South"	"Ash"	"forested"	-30.4	2.89122700260752	"N"	NA	NA	"sample"	"Ash"	"Leaf"	41.71	2.7	-1.48	-30.4
"260"	"Leaf-TI4A-353"	"TI4A353"	"TI4"	"South"	"Ash"	"non-forested"	-30.71	2.90382965800608	"N"	NA	NA	"sample"	"Ash"	"Leaf"	46.15	2.95	-1.1	-30.71
"261"	"Leaf-TI4A-349"	"TI4A349"	"TI4"	"South"	"Alder"	"non-forested"	-29.37	2.85904168461527	"N"	NA	NA	"sample"	"Alder"	"Leaf"	47.27	3.16	-1.67	-29.37
"262"	"Leaf-TI4F-384-Alder"	"TI4F384"	"TI4"	"South"	"Alder"	"forested"	-29.79	2.80922267116615	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	49.1	3.45	-1.55	-29.79
"263"	"Leaf-TI3F-336-Ash"	"TI3F336"	"TI3"	"South"	"Ash"	"forested"	-30.49	2.95776647420069	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	44.91	2.72	-2.22	-30.49
"264"	"Leaf-TI4F-376"	"TI4F376"	"TI4"	"South"	"Alder"	"forested"	-29.25	2.88977971794803	"N"	NA	NA	"sample"	"Alder"	"Leaf"	47.82	3.1	-1.5	-29.25
"265"	"Leaf-TI2F-285-Ash"	"TI2F285"	"TI2"	"South"	"Ash"	"forested"	-30.69	2.98223422158702	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	46.53	2.75	-1.72	-30.69
"266"	"Leaf-TI3A-308"	"TI3A308"	"TI3"	"South"	"Ash"	"non-forested"	-30.84	2.95698559129965	"N"	NA	NA	"sample"	"Ash"	"Leaf"	44.38	2.69	-1.86	-30.84
"267"	"Leaf-TG1A-17"	"TG1A17"	"TG1"	"North"	"Ash"	"non-forested"	-30.41	2.81232427683225	"N"	NA	NA	"sample"	"Ash"	"Leaf"	42.4	2.97	0.39	-30.41
"268"	"Leaf-TI1A-210"	"TI1A210"	"TI1"	"South"	"Ash"	"non-forested"	-30.64	2.78796320870774	"N"	NA	NA	"sample"	"Ash"	"Leaf"	45.42	3.26	-1.25	-30.64
"269"	"Leaf-TI2F-281"	"TI2F281"	"TI2"	"South"	"Ash"	"forested"	-30.48	2.93734719931517	"N"	NA	NA	"sample"	"Ash"	"Leaf"	45.62	2.82	-1.77	-30.48
"270"	"Leaf-TG2F-90"	"TG2F90"	"TG2"	"North"	"Ash"	"forested"	-29.83	3.01953587451927	"N"	NA	NA	"sample"	"Ash"	"Leaf"	38.99	2.22	0.56	-29.83
"271"	"Leaf-TG2A-64"	"TG2A64"	"TG2"	"North"	"Alder"	"non-forested"	-29.4	2.83462054901682	"N"	NA	NA	"sample"	"Alder"	"Leaf"	43.21	2.96	-0.84	-29.4
"272"	"Leaf-TG4A-158"	"TG4A158"	"TG4"	"North"	"Alder"	"non-forested"	-29	2.95905839268696	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.96	2.78	-0.78	-29
"273"	"Leaf-TG2A-63"	"TG2A63"	"TG2"	"North"	"Alder"	"non-forested"	-30.38	2.82310740243225	"N"	NA	NA	"sample"	"Alder"	"Leaf"	44.88	3.11	-0.94	-30.38
"274"	"Leaf-TI2F-287-Ash"	"TI2F287"	"TI2"	"South"	"Ash"	"forested"	-30.59	3.03796488725066	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	47.05	2.63	-1.64	-30.59
"275"	"Leaf-TG3F-134"	"TG3F134"	"TG3"	"North"	"Alder"	"forested"	-30.3	2.90402083213443	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.22	2.89	-1.09	-30.3
"276"	"Leaf-TI3F-329"	"TI3F329"	"TI3"	"South"	"Ash"	"forested"	-30.64	2.98522595764064	"N"	NA	NA	"sample"	"Ash"	"Leaf"	46.33	2.73	-1.52	-30.64
"277"	"Leaf-TI3F-336-Alder"	"TI3F336"	"TI3"	"South"	"Alder"	"forested"	-30.06	2.7852593663355	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.27	3.33	-1.85	-30.06
"278"	"Leaf-TI3F-331"	"TI3F331"	"TI3"	"South"	"Ash"	"forested"	-30.31	2.98213192502921	"N"	NA	NA	"sample"	"Ash"	"Leaf"	35.19	2.08	-1.71	-30.31
"279"	"Leaf-TI3A-304"	"TI3A304"	"TI3"	"South"	"Alder"	"non-forested"	-29.34	2.91818775697328	"N"	NA	NA	"sample"	"Alder"	"Leaf"	46.5	2.93	-2.02	-29.34
"281"	"Leaf-TG2A-66"	"TG2A66"	"TG2"	"North"	"Ash"	"non-forested"	-29.99	3.0357186020383	"N"	NA	NA	"sample"	"Ash"	"Leaf"	43.91	2.46	0.05	-29.99
"282"	"Leaf-TI1F-240-Ash"	"TI1F240"	"TI1"	"South"	"Ash"	"forested"	-30.55	2.95163315656264	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	45.62	2.78	-1.93	-30.55
"283"	"Leaf-TG2A-70-Alder"	"TG2A70"	"TG2"	"North"	"Alder"	"non-forested"	-30.03	2.92654977902584	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	44.81	2.8	-0.8	-30.03
"284"	"Leaf-TI2F-288-Alder"	"TI2F288"	"TI2"	"South"	"Alder"	"forested"	-29.99	2.85363526643385	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.42	3.12	-1.36	-29.99
"285"	"Leaf-TI3A-306"	"TI3A306"	"TI3"	"South"	"Ash"	"non-forested"	-30.49	2.9154072611001	"N"	NA	NA	"sample"	"Ash"	"Leaf"	44.63	2.82	-2.11	-30.49
"286"	"MZB-TG1F-37-Auricollis"	"TG1F37"	"TG1"	"North"	"no-leaf"	"forested"	-27.24	1.64748209540455	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	45.25	10.16	1.64	-28.33
"287"	"MZB-TG1A-18-Gammarus"	"TG1A18"	"TG1"	"North"	"no-leaf"	"non-forested"	-26.86	1.56340953219739	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	34.19	8.35	4.13	-27.95
"288"	"MZB-TG1A-17-Gammarus"	"TG1A17"	"TG1"	"North"	"no-leaf"	"non-forested"	-28.05	1.58638861821229	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	32.01	7.64	4.45	-29.14
"289"	"MZB-TG1A-13-Gammarus"	"TG1A13"	"TG1"	"North"	"no-leaf"	"non-forested"	-27.78	1.5294652303027	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	34.83	8.8	4.01	-28.87
"290"	"MZB-TG1A-19-Auricollis"	"TG1A19"	"TG1"	"North"	"no-leaf"	"non-forested"	-27.53	NA	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	45.91	NA	NA	-28.62
"291"	"MZB-TG1A-15-Gammarus"	"TG1A15"	"TG1"	"North"	"no-leaf"	"non-forested"	-28.96	1.53309717887353	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	33.05	8.32	4.74	-30.05
"292"	"MZB-TG1F-39-Gammarus"	"TG1F39"	"TG1"	"North"	"no-leaf"	"forested"	-26.68	1.53331327828009	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	35.6	8.96	4.27	-27.77
"293"	"MZB-TG4F-187-Auricollis"	"TG4F187"	"TG4"	"North"	"no-leaf"	"forested"	-28.05	1.86622315293413	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	46.06	8.31	-1.92	-29.14
"295"	"MZB-TG1F-45-Auricollis"	"TG1F45"	"TG1"	"North"	"no-leaf"	"forested"	-27.1	1.6434281070125	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	45.2	10.19	2.08	-28.19
"296"	"MZB-TG1F-46-Auricollis"	"TG1F46"	"TG1"	"North"	"no-leaf"	"forested"	-28.57	1.89906042234424	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	43.76	7.64	0.95	-29.66
"297"	"MZB-TG1F-42-Auricollis"	"TG1F42"	"TG1"	"North"	"no-leaf"	"forested"	-27.43	1.74640674878458	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	43.76	8.9	1.87	-28.52
"298"	"MZB-TG1A-22-Gammarus"	"TG1A22"	"TG1"	"North"	"no-leaf"	"non-forested"	-27.38	1.57146159105913	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	32.32	7.83	4.16	-28.47
"299"	"MZB-TG1F-47-Auricollis"	"TG1F47"	"TG1"	"North"	"no-leaf"	"forested"	-27.07	1.54908206404876	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	44.4	11	1.92	-28.16
"300"	"MZB-TG4F-187-Gammarus"	"TG4F187"	"TG4"	"North"	"no-leaf"	"forested"	-25.23	1.58960371316955	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	33.29	7.92	-0.94	-26.32
"301"	"MZB-TG1F-44-Auricollis"	"TG1F44"	"TG1"	"North"	"no-leaf"	"forested"	-27.38	1.70367701695199	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	43.39	9.21	1.77	-28.47
"302"	"MZB-TG1F-40-Auricollis"	"TG1F40"	"TG1"	"North"	"no-leaf"	"forested"	-27	1.76228748309354	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	45.01	9.01	2.19	-28.09
"303"	"MZB-TG1F-47-Gammarus"	"TG1F47"	"TG1"	"North"	"no-leaf"	"forested"	-27.1	1.51682933144917	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	34.08	8.72	4.26	-28.19
"304"	"MZB-TI4F-378-Protonemura"	"TI4F378"	"TI4"	"South"	"no-leaf"	"forested"	-26.33	1.46804660423793	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	45.82	12.31	-3.37	-27.42
"305"	"MZB-TG1F-41-Auricollis"	"TG1F41"	"TG1"	"North"	"no-leaf"	"forested"	-27.23	1.7780533718994	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	45.37	8.94	2.13	-28.32
"306"	"MZB-TG2F-87-Auricollis"	"TG2F87"	"TG2"	"North"	"no-leaf"	"forested"	-28	1.73153472222393	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	43.55	8.99	0.69	-29.09
"307"	"MZB-TG4F-184-Gammarus"	"TG4F184"	"TG4"	"North"	"no-leaf"	"forested"	-25.23	1.57746349891413	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	34.84	8.39	-0.84	-26.32
"308"	"MZB-TG4F-190-Gammarus"	"TG4F190"	"TG4"	"North"	"no-leaf"	"forested"	-25.12	1.54259450751075	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	35.17	8.77	-0.45	-26.21
"309"	"MZB-TG1A-19-Gammarus"	"TG1A19"	"TG1"	"North"	"no-leaf"	"non-forested"	-27.9	1.57288027720995	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	34.35	8.31	4.09	-28.99
"310"	"MZB-TG4F-189-Gammarus"	"TG4F189"	"TG4"	"North"	"no-leaf"	"forested"	-25.03	1.58041776417841	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	34.36	8.25	-0.69	-26.12
"311"	"MZB-TG4F-192-Gammarus"	"TG4F192"	"TG4"	"North"	"no-leaf"	"forested"	-24.94	1.57980498365133	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	33.34	8.01	-0.82	-26.03
"312"	"MZB-TG4F-188-Gammarus"	"TG4F188"	"TG4"	"North"	"no-leaf"	"forested"	-25.27	1.57094749314112	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	34.82	8.44	-0.78	-26.36
"313"	"MZB-TG4A-160-Gammarus"	"TG4A160"	"TG4"	"North"	"no-leaf"	"non-forested"	-27.09	1.56367987682951	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	32.52	7.94	3.51	-28.18
"314"	"MZB-TG4A-163-Gammarus"	"TG4A163"	"TG4"	"North"	"no-leaf"	"non-forested"	-27.21	1.54494482329527	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	34.69	8.63	3.58	-28.3
"315"	"MZB-TG4A-165-Gammarus"	"TG4A165"	"TG4"	"North"	"no-leaf"	"non-forested"	-27.97	1.56924778957364	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	36.12	8.77	3.81	-29.06
"316"	"MZB-TG4A-166-Gammarus"	"TG4A166"	"TG4"	"North"	"no-leaf"	"non-forested"	-27.49	1.56050468363381	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	34.05	8.34	3.78	-28.58
"317"	"MZB-TG4A-158-Gammarus"	"TG4A158"	"TG4"	"North"	"no-leaf"	"non-forested"	-28.37	1.61086102051951	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	33.49	7.8	3.7	-29.46
"318"	"MZB-TG4F-191-Gammarus"	"TG4F191"	"TG4"	"North"	"no-leaf"	"forested"	-24.94	1.54933741348498	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	33.47	8.29	-0.54	-26.03
"319"	"MZB-TG4A-159-Gammarus"	"TG4A159"	"TG4"	"North"	"no-leaf"	"non-forested"	-27.83	1.49742699055003	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	36.53	9.53	3.85	-28.92
"320"	"MZB-TG1F-45-Gammarus"	"TG1F45"	"TG1"	"North"	"no-leaf"	"forested"	-26.61	1.5260459865541	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	34.08	8.64	4.17	-27.7
"321"	"MZB-TG2F-90-Gammarus"	"TG2F90"	"TG2"	"North"	"no-leaf"	"forested"	-26.12	1.43865794753885	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	38.71	10.71	3.78	-27.21
"322"	"MZB-TG4A-162-Gammarus"	"TG4A162"	"TG4"	"North"	"no-leaf"	"non-forested"	-26.57	1.63343570470807	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	30.39	6.92	3.35	-27.66
"323"	"MZB-TG4A-167-Gammarus"	"TG4A167"	"TG4"	"North"	"no-leaf"	"non-forested"	-27.35	1.5848771280568	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	32.38	7.74	3.75	-28.44
"324"	"MZB-TG1F-44-Gammarus"	"TG1F44"	"TG1"	"North"	"no-leaf"	"forested"	-26.34	1.47634218833503	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	38.32	10.21	3.83	-27.43
"325"	"MZB-TG4A-158-Gammarus"	"TG4A158"	"TG4"	"North"	"no-leaf"	"non-forested"	-27.68	1.56690954629258	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	36.2	8.81	3.62	-28.77
"326"	"MZB-TG4A-161-Gammarus"	"TG4A161"	"TG4"	"North"	"no-leaf"	"non-forested"	-28.04	1.57236650268271	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	42.43	10.27	3.46	-29.13
"327"	"MZB-TG1F-38-Gammarus"	"TG1F38"	"TG1"	"North"	"no-leaf"	"forested"	-26.7	1.55909751386484	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	45.01	11.04	3.85	-27.79
"328"	"MZB-TG1F-46-Gammarus"	"TG1F46"	"TG1"	"North"	"no-leaf"	"forested"	-26.14	1.54103897380666	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	49.69	12.41	3.86	-27.23
"329"	"MZB-TG4A-157-Gammarus"	"TG4A157"	"TG4"	"North"	"no-leaf"	"non-forested"	-26.87	1.61973451066717	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	29.37	6.78	3.48	-27.96
"330"	"MZB-TG1A-23-Gammarus"	"TG1A23"	"TG1"	"North"	"no-leaf"	"non-forested"	-27.78	1.53457128659976	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	38.35	9.64	4.12	-28.87
"331"	"MZB-TG1A-24-Gammarus"	"TG1A24"	"TG1"	"North"	"no-leaf"	"non-forested"	-27.33	1.58682620294186	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	33.03	7.88	4.06	-28.42
"332"	"MZB-TG1A-21-Gammarus"	"TG1A21"	"TG1"	"North"	"no-leaf"	"non-forested"	-29.3	1.55580947746126	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	27.47	6.76	5.27	-30.39
"333"	"MZB-TG1F-48-Gammarus"	"TG1F48"	"TG1"	"North"	"no-leaf"	"forested"	-26.89	1.53875310546727	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	54.69	13.69	3.99	-27.98
"334"	"MZB-TG4F-182-Gammarus"	"TG4F182"	"TG4"	"North"	"no-leaf"	"forested"	-24.65	1.57746892815046	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	32.93	7.93	0.15	-25.74
"335"	"MZB-TG4F-185-Gammarus"	"TG4F185"	"TG4"	"North"	"no-leaf"	"forested"	-24.86	1.60830663327736	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	33.79	7.89	-0.72	-25.95
"337"	"MZB-TG4F-181-Gammarus"	"TG4F181"	"TG4"	"North"	"no-leaf"	"forested"	-25.25	1.56219380033169	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	14.6	3.57	-0.91	-26.34
"338"	"MZB-TI4F-376-Limnephilini"	"TI4F376"	"TI4"	"South"	"no-leaf"	"forested"	-27.89	1.77895519994701	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	76.65	15.09	-3.31	-28.98
"339"	"MZB-TG1F-44-Capnia"	"TG1F44"	"TG1"	"North"	"no-leaf"	"forested"	-28.6	1.39312270995814	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	32.67	9.46	5.1	-29.69
"340"	"MZB-TI2A-262-Leuctra"	"TI2A262"	"TI2"	"South"	"no-leaf"	"non-forested"	-27.06	1.43046426131516	"Y"	"Leuctra"	"Plecoptera"	"sample"	"Leuctra"	"MZB"	32.73	9.13	-1.4	-28.15
"341"	"MZB-TG1F-47-Capnia"	"TG1F47"	"TG1"	"North"	"no-leaf"	"forested"	-28.46	NA	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	61.91	NA	NA	-29.55
"343"	"MZB-TG1F-42-Capnia"	"TG1F42"	"TG1"	"North"	"no-leaf"	"forested"	-28.51	1.43539530190403	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	55.3	15.35	5.08	-29.6
"344"	"MZB-TI2A-264-Leuctra"	"TI2A264"	"TI2"	"South"	"no-leaf"	"non-forested"	-26.35	1.41219885701895	"Y"	"Leuctra"	"Plecoptera"	"sample"	"Leuctra"	"MZB"	34.32	9.75	-1.72	-27.44
"345"	"MZB-TG1F-37-Capnia"	"TG1F37"	"TG1"	"North"	"no-leaf"	"forested"	-28.91	1.41230275852042	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	42.35	12.03	4.97	-30
"346"	"MZB-TI4F-379-Limnephilini"	"TI4F379"	"TI4"	"South"	"no-leaf"	"forested"	-26.81	1.86827938176742	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	60.54	10.9	-3.4	-27.9
"347"	"MZB-TG1F-45-Capnia"	"TG1F45"	"TG1"	"North"	"no-leaf"	"forested"	-28.58	1.39094264445389	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	42.73	12.4	4.62	-29.67
"348"	"MZB-TG1F-38-Capnia"	"TG1F38"	"TG1"	"North"	"no-leaf"	"forested"	-28.52	1.44734156561206	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	44.48	12.2	4.81	-29.61
"349"	"MZB-TG2A-69-Capnia"	"TG2A69"	"TG2"	"North"	"no-leaf"	"non-forested"	-32.26	1.48916112609137	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	52.12	13.71	3.58	-33.35
"350"	"MZB-TG1F-46-Capnia"	"TG1F46"	"TG1"	"North"	"no-leaf"	"forested"	-28.36	1.41904175772765	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	50.15	14.15	4.36	-29.45
"351"	"MZB-TG2A-62-Capnia"	"TG2A62"	"TG2"	"North"	"no-leaf"	"non-forested"	-29.69	1.47288160316334	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	34.41	9.2	2.56	-30.78
"352"	"MZB-TI3A-311-Leuctra"	"TI3A311"	"TI3"	"South"	"no-leaf"	"non-forested"	-24.99	1.44653714609378	"Y"	"Leuctra"	"Plecoptera"	"sample"	"Leuctra"	"MZB"	46.12	12.66	-5.22	-26.08
"353"	"MZB-TG2A-65-Capnia"	"TG2A65"	"TG2"	"North"	"no-leaf"	"non-forested"	-29.23	NA	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	56.2	NA	NA	-30.32
"354"	"MZB-TG2A-61-Nemoura"	"TG2A61"	"TG2"	"North"	"no-leaf"	"non-forested"	-30.54	1.42867469339864	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	39.9	11.15	2.83	-31.63
"355"	"MZB-TI4F-383-Limnephilini"	"TI4F383"	"TI4"	"South"	"no-leaf"	"forested"	-26.77	1.78458332519383	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	33.05	6.47	-2.87	-27.86
"356"	"MZB-TG1A-20-Auricollis"	"TG1A20"	"TG1"	"North"	"no-leaf"	"non-forested"	-28.06	1.55156880115725	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	47.95	11.85	1.55	-29.15
"358"	"MZB-TG4F-186-Auricollis"	"TG4F186"	"TG4"	"North"	"no-leaf"	"forested"	-26.89	1.77913606230292	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	32.21	6.34	-1.57	-27.98
"359"	"MZB-TG1F-43-Capnia"	"TG1F43"	"TG1"	"North"	"no-leaf"	"forested"	-28.35	1.41122372286075	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	54.12	15.39	4.93	-29.44
"360"	"MZB-TI4F-384-Nemoura"	"TI4F384"	"TI4"	"South"	"no-leaf"	"forested"	-25.55	1.43370785737471	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	31.11	8.65	-3.48	-26.64
"361"	"MZB-TI2F-284-Leuctra"	"TI2F284"	"TI2"	"South"	"no-leaf"	"forested"	-25.84	1.42255254491482	"Y"	"Leuctra"	"Plecoptera"	"sample"	"Leuctra"	"MZB"	32.97	9.27	-3.05	-26.93
"362"	"MZB-TI4F-380-Limnephilini"	"TI4F380"	"TI4"	"South"	"no-leaf"	"forested"	-26.95	1.76070359069766	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	36.36	7.29	-2.81	-28.04
"363"	"MZB-TG2F-96-Capnia"	"TG2F96"	"TG2"	"North"	"no-leaf"	"forested"	-29.54	NA	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	62.35	NA	NA	-30.63
"364"	"MZB-TI4A-354-Limnephilini"	"TI4A354"	"TI4"	"South"	"no-leaf"	"non-forested"	-26.4	1.63971258005545	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	50.91	11.52	-2.66	-27.49
"365"	"MZB-TI4F-378-Limnephilini"	"TI4F378"	"TI4"	"South"	"no-leaf"	"forested"	-26.96	1.71697122715264	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	38.91	8.15	-3.69	-28.05
"366"	"MZB-TG2A-64-Capnia"	"TG2A64"	"TG2"	"North"	"no-leaf"	"non-forested"	-29.9	1.40096448958316	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	43.23	12.42	2.3	-30.99
"367"	"MZB-TG2A-71-Capnia"	"TG2A71"	"TG2"	"North"	"no-leaf"	"non-forested"	-29.89	1.43673569709186	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	43.65	12.1	3.42	-30.98
"368"	"MZB-TG1F-41-Capnia"	"TG1F41"	"TG1"	"North"	"no-leaf"	"forested"	-27.73	1.42724884906103	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	55.03	15.4	4.7	-28.82
