"Sample_Name"	"EA_N_Percent_corr"	"EA_C_Percent_corr"	"Delta15_N_Air"	"Delta13_C_VPDB"	"Type"	"Site"	"ID"	"Species"	"T"	"Mesh"	"Mix"	"Vegetation"	"Region"	"Stream"	"Sample_ID"	"Leaf"	"LeafLeafLeaf"	"Country"	"molar_CN"	"log_molar_CN"	"MonoMix"	"Fungal_Biom_Leaf_mgg_noRR"
"32"	"Leaf-TG1A-13"	3.01	45.08	-0.22	-29.37	"Leaf"	"TG1A"	"13"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG1"	"TG1A13"	"Alder"	"Alder"	"Switzerland"	17.4656566886774	2.86023647781974	"Mono"	116.8383101751
"33"	"Leaf-TG2A-72-Alder"	2.84	44.2	-1	-29.99	"Leaf"	"TG2A"	"72"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG2"	"TG2A72"	"Mix"	"Alder"	"Switzerland"	18.1497829927939	2.89865860431949	"Mix"	60.3995267697149
"34"	"Leaf-TG4F-191-Ash"	2.6	44.64	-0.79	-29.95	"Leaf"	"TG4F"	"191"	"Ash"	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F191"	"Mix"	"Ash"	"Switzerland"	20.0225019870103	2.99685674045457	"Mix"	84.8802719917553
"35"	"Leaf-TI1A-215-Ash"	3.08	45.42	-1.8	-30.8	"Leaf"	"TI1A"	"215"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A215"	"Mix"	"Ash"	"Switzerland"	17.1974446702772	2.84476080710088	"Mix"	105.743337544677
"36"	"Leaf-TG3A-114"	2.22	42.52	0.03	-30.21	"Leaf"	"TG3A"	"114"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG3"	"TG3A114"	"Ash"	"Ash"	"Switzerland"	22.3361228130143	3.10620522499851	"Mono"	62.3659465130572
"37"	"Leaf-TG4A-168-Ash"	2.03	42.08	-0.1	-30.16	"Leaf"	"TG4A"	"168"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A168"	"Mix"	"Ash"	"Switzerland"	24.1739266887682	3.18527464278471	"Mix"	121.713054546674
"38"	"Leaf-TG1F-47-Ash"	2.67	42.99	0.34	-30.5	"Leaf"	"TG1F"	"47"	"Ash"	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F47"	"Mix"	"Ash"	"Switzerland"	18.7768912607232	2.93262692550498	"Mix"	94.9865849341752
"39"	"Leaf-TG4F-187"	1.89	43.19	-1.17	-30.19	"Leaf"	"TG4F"	"187"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F187"	"Ash"	"Ash"	"Switzerland"	26.6494903155797	3.28277002531001	"Mono"	72.9241934037099
"40"	"Leaf-TI2F-282"	2.75	47.06	-1.56	-31.07	"Leaf"	"TI2F"	"282"	NA	"sample"	"Coarse"	NA	"forested"	"South"	"TI2"	"TI2F282"	"Ash"	"Ash"	"Switzerland"	19.956608448376	2.99356033902968	"Mono"	106.375264907826
"41"	"Leaf-TG3F-139"	2.55	43.42	-0.23	-30.42	"Leaf"	"TG3F"	"139"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG3"	"TG3F139"	"Ash"	"Ash"	"Switzerland"	19.8571605024735	2.98856467268876	"Mono"	80.8230188227442
"42"	"Leaf-TI1F-232"	3.06	46.19	-1.77	-29.77	"Leaf"	"TI1F"	"232"	NA	"sample"	"Coarse"	NA	"forested"	"South"	"TI1"	"TI1F232"	"Alder"	"Alder"	"Switzerland"	17.6032980886161	2.86808627588717	"Mono"	96.7766402077443
"43"	"Leaf-TI1A-215-Alder"	3.2	47.36	-1.47	-28.59	"Leaf"	"TI1A"	"215"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A215"	"Mix"	"Alder"	"Switzerland"	17.2595402432831	2.84836504817902	"Mix"	89.8161890524328
"44"	"Leaf-TG3F-138"	2.46	43.72	-0.32	-30.52	"Leaf"	"TG3F"	"138"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG3"	"TG3F138"	"Ash"	"Ash"	"Switzerland"	20.7258596856827	3.03138218077301	"Mono"	74.233330629065
"45"	"Leaf-TI2A-261-Ash"	3.01	43.88	-1.25	-30.91	"Leaf"	"TI2A"	"261"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI2"	"TI2A261"	"Mix"	"Ash"	"Switzerland"	17.0007323757579	2.83325642405519	"Mix"	115.682707921386
"46"	"Leaf-TI1F-239-Ash"	2.94	46.04	-2.18	-30.79	"Leaf"	"TI1F"	"239"	"Ash"	"sample"	"Coarse"	NA	"forested"	"South"	"TI1"	"TI1F239"	"Mix"	"Ash"	"Switzerland"	18.2623008089895	2.90483886991204	"Mix"	124.601487456657
"47"	"Leaf-TI1A-205"	3.19	45.87	-1.62	-29.87	"Leaf"	"TI1A"	"205"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A205"	"Alder"	"Alder"	"Switzerland"	16.7689382140006	2.81952825922128	"Mono"	165.300697956378
"48"	"Leaf-TI3A-302"	2.93	46.12	-1.75	-29.73	"Leaf"	"TI3A"	"302"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI3"	"TI3A302"	"Alder"	"Alder"	"Switzerland"	18.3564707135	2.90998213978083	"Mono"	55.6945763998531
"49"	"Leaf-TI3F-332"	2.55	43.23	-1.83	-30.55	"Leaf"	"TI3F"	"332"	NA	"sample"	"Coarse"	NA	"forested"	"South"	"TI3"	"TI3F332"	"Ash"	"Ash"	"Switzerland"	19.7702682754936	2.98417920691815	"Mono"	86.949839542938
"50"	"Leaf-TG4A-163"	2.67	42.45	-0.57	-30.47	"Leaf"	"TG4A"	"163"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A163"	"Ash"	"Ash"	"Switzerland"	18.5410335896185	2.91998630775415	"Mono"	92.043271357546
"51"	"Leaf-TG1F-45-Alder"	2.86	45.58	0.09	-29.42	"Leaf"	"TG1F"	"45"	"Alder"	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F45"	"Mix"	"Alder"	"Switzerland"	18.5855661568901	2.92238526639472	"Mix"	77.8327897227956
"52"	"Leaf-TI1A-213-Alder"	3.04	46.25	-1.56	-29.23	"Leaf"	"TI1A"	"213"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A213"	"Mix"	"Alder"	"Switzerland"	17.7421260724538	2.87594181594925	"Mix"	110.865408949931
"53"	"Leaf-TI3F-335-Ash"	2.34	45	-1.76	-30.52	"Leaf"	"TI3F"	"335"	"Ash"	"sample"	"Coarse"	NA	"forested"	"South"	"TI3"	"TI3F335"	"Mix"	"Ash"	"Switzerland"	22.4266375302535	3.11024942780966	"Mix"	61.1205117377169
"54"	"Leaf-TI3A-303"	2.82	46.61	-1.97	-29.22	"Leaf"	"TI3A"	"303"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI3"	"TI3A303"	"Alder"	"Alder"	"Switzerland"	19.2751382676688	2.95881609284358	"Mono"	78.3829765294919
"55"	"Leaf-TG3F-141-Ash"	2.27	43.44	-0.13	-29.98	"Leaf"	"TG3F"	"141"	"Ash"	"sample"	"Coarse"	NA	"forested"	"North"	"TG3"	"TG3F141"	"Mix"	"Ash"	"Switzerland"	22.3167766450832	3.10533871154132	"Mix"	62.6593376189402
"56"	"Leaf-TI3A-312-Ash"	2.49	43.96	-1.73	-30.58	"Leaf"	"TI3A"	"312"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI3"	"TI3A312"	"Mix"	"Ash"	"Switzerland"	20.5885539209466	3.02473528646775	"Mix"	95.1010535943763
"57"	"Leaf-TG1F-46-Alder"	2.93	44.6	-0.42	-30.24	"Leaf"	"TG1F"	"46"	"Alder"	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F46"	"Mix"	"Alder"	"Switzerland"	17.7514872901583	2.87646930340599	"Mix"	54.2123073884014
"58"	"Leaf-TG1F-48-Ash"	2.34	42.04	0.53	-30.02	"Leaf"	"TG1F"	"48"	"Ash"	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F48"	"Mix"	"Ash"	"Switzerland"	20.9514631504857	3.04220848404809	"Mix"	87.3594108634145
"59"	"Leaf-TI1A-212"	2.85	43.98	-1.48	-30.62	"Leaf"	"TI1A"	"212"	NA	"sample"	"Coarse"	NA	"non-forested"	"South"	"TI1"	"TI1A212"	"Ash"	"Ash"	"Switzerland"	17.9960782337503	2.890153858255	"Mono"	133.19941121639
"60"	"Leaf-TG2A-71-Alder"	2.54	44.56	-0.75	-29.3	"Leaf"	"TG2A"	"71"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG2"	"TG2A71"	"Mix"	"Alder"	"Switzerland"	20.458744233898	3.01841038199753	"Mix"	68.5272169624798
"61"	"Leaf-TG3F-133"	2.92	45.82	-0.89	-30.4	"Leaf"	"TG3F"	"133"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG3"	"TG3F133"	"Alder"	"Alder"	"Switzerland"	18.2995217962614	2.90687492815411	"Mono"	48.7178587812499
"62"	"Leaf-TG2F-85"	2.46	42.56	-0.5	-29.9	"Leaf"	"TG2F"	"85"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG2"	"TG2F85"	"Alder"	"Alder"	"Switzerland"	20.1759512402254	3.00449136249807	"Mono"	71.4961631069747
"63"	"Leaf-TG1F-38"	3.12	46.42	-0.27	-29.48	"Leaf"	"TG1F"	"38"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F38"	"Alder"	"Alder"	"Switzerland"	17.3507419025728	2.85363526643385	"Mono"	74.6326977632791
"64"	"Leaf-TG3F-140"	2.49	43.68	-0.46	-30.21	"Leaf"	"TG3F"	"140"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG3"	"TG3F140"	"Ash"	"Ash"	"Switzerland"	20.4574166348259	3.01834548836898	"Mono"	75.4607901642376
"65"	"Leaf-TG3A-120-Alder"	2.93	45.08	-0.87	-29.57	"Leaf"	"TG3A"	"120"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG3"	"TG3A120"	"Mix"	"Alder"	"Switzerland"	17.9425346870031	2.88717413355155	"Mix"	45.1618707429949
"66"	"Leaf-TG4A-160"	2.72	45.61	-0.82	-29.03	"Leaf"	"TG4A"	"160"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A160"	"Alder"	"Alder"	"Switzerland"	19.5550385159018	2.97323297782465	"Mono"	63.2361445756027
"67"	"Leaf-TG2A-69-Alder"	5.12	NA	-1.08	NA	"Leaf"	"TG2A"	"69"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG2"	"TG2A69"	"Mix"	"Alder"	"Switzerland"	NA	NA	"Mix"	83.8132623321496
"68"	"Leaf-TG3A-111"	2.65	41.69	-0.78	-29.8	"Leaf"	"TG3A"	"111"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG3"	"TG3A111"	"Alder"	"Alder"	"Switzerland"	18.346512818523	2.90943951930352	"Mono"	28.9205077964211
"69"	"Leaf-TG4A-159"	2.95	45.72	-0.65	-29.09	"Leaf"	"TG4A"	"159"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A159"	"Alder"	"Alder"	"Switzerland"	18.0738932643816	2.89446853598383	"Mono"	81.6732117887679
"70"	"Leaf-TG3A-113"	2.55	40.35	-0.04	-30.38	"Leaf"	"TG3A"	"113"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG3"	"TG3A113"	"Ash"	"Ash"	"Switzerland"	18.4531650454815	2.91523590295457	"Mono"	87.7084783293197
"71"	"Leaf-TI1F-230"	2.98	49.47	-1.7	-29.79	"Leaf"	"TI1F"	"230"	NA	"sample"	"Coarse"	NA	"forested"	"South"	"TI1"	"TI1F230"	"Alder"	"Alder"	"Switzerland"	19.3594561907132	2.96318099213125	"Mono"	98.8848470632991
"72"	"Leaf-TG2A-71-Ash"	2.02	37.29	-0.39	-30.35	"Leaf"	"TG2A"	"71"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG2"	"TG2A71"	"Mix"	"Ash"	"Switzerland"	21.5282397535465	3.06936555018656	"Mix"	72.2526759091928
"73"	"Leaf-TI3F-334-Ash"	2.67	45.31	-1.91	-30.67	"Leaf"	"TI3F"	"334"	"Ash"	"sample"	"Coarse"	NA	"forested"	"South"	"TI3"	"TI3F334"	"Mix"	"Ash"	"Switzerland"	19.7902056995434	2.98518715367584	"Mix"	98.0656416505564
"74"	"Leaf-TG3A-118-Alder"	2.9	42.6	-0.54	-29.88	"Leaf"	"TG3A"	"118"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG3"	"TG3A118"	"Mix"	"Alder"	"Switzerland"	17.1308577437991	2.84088138369184	"Mix"	NA
"75"	"Leaf-TG4F-190-Alder"	2.7	47.08	-0.96	-29.63	"Leaf"	"TG4F"	"190"	"Alder"	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F190"	"Mix"	"Alder"	"Switzerland"	20.3348136800242	3.01233437679074	"Mix"	42.3250639830509
"76"	"Leaf-TI1F-237-Ash"	2.62	43.75	-1.67	-31.02	"Leaf"	"TI1F"	"237"	"Ash"	"sample"	"Coarse"	NA	"forested"	"South"	"TI1"	"TI1F237"	"Mix"	"Ash"	"Switzerland"	19.4735115959262	2.96905516243957	"Mix"	112.016377921154
"77"	"Leaf-TG4F-183"	2.51	45.86	-1.18	-29.02	"Leaf"	"TG4F"	"183"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG4"	"TG4F183"	"Alder"	"Alder"	"Switzerland"	21.307271335118	3.05904839169501	"Mono"	54.5081705398446
"78"	"Leaf-TI1F-239-Alder"	3.02	48.31	-1.84	-29.14	"Leaf"	"TI1F"	"239"	"Alder"	"sample"	"Coarse"	NA	"forested"	"South"	"TI1"	"TI1F239"	"Mix"	"Alder"	"Switzerland"	18.6551008849339	2.92611961458848	"Mix"	105.696058340231
"79"	"Leaf-TG1F-41"	2.63	42	0.75	-30.36	"Leaf"	"TG1F"	"41"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F41"	"Ash"	"Ash"	"Switzerland"	18.6234891125755	2.92442363950264	"Mono"	88.2605809818591
"80"	"Leaf-TG1A-22-Alder"	2.88	45.25	-0.01	-28.91	"Leaf"	"TG1A"	"22"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG1"	"TG1A22"	"Mix"	"Alder"	"Switzerland"	18.3228743432939	2.90815024340703	"Mix"	66.5611453208649
"81"	"Leaf-TG4A-157"	2.69	44.72	-0.72	-28.79	"Leaf"	"TG4A"	"157"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG4"	"TG4A157"	"Alder"	"Alder"	"Switzerland"	19.3872862373058	2.96461750264204	"Mono"	71.90252061891
"82"	"Leaf-TG1A-21-Alder"	2.95	45.25	-0.03	-29.46	"Leaf"	"TG1A"	"21"	"Alder"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG1"	"TG1A21"	"Mix"	"Alder"	"Switzerland"	17.888094274131	2.88413536720315	"Mix"	81.0269678603653
"83"	"Leaf-TG1F-43"	2.78	42.18	0.75	-30.72	"Leaf"	"TG1F"	"43"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F43"	"Ash"	"Ash"	"Switzerland"	17.6941329832219	2.87323311475703	"Mono"	126.967450233765
"84"	"Leaf-TG3A-109"	2.69	43.87	-0.71	-29.71	"Leaf"	"TG3A"	"109"	NA	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG3"	"TG3A109"	"Alder"	"Alder"	"Switzerland"	19.0187890704518	2.94542738897332	"Mono"	53.1361229229402
"85"	"Leaf-TG1F-45-Ash"	2.4	42.68	0.73	-30.45	"Leaf"	"TG1F"	"45"	"Ash"	"sample"	"Coarse"	NA	"forested"	"North"	"TG1"	"TG1F45"	"Mix"	"Ash"	"Switzerland"	20.7386592788097	3.0319995564886	"Mix"	81.1542114373142
"86"	"Leaf-TG2F-87"	2.56	41.42	-0.27	-29.74	"Leaf"	"TG2F"	"87"	NA	"sample"	"Coarse"	NA	"forested"	"North"	"TG2"	"TG2F87"	"Alder"	"Alder"	"Switzerland"	18.8685113195942	2.93749446488491	"Mono"	101.816219161065
"87"	"Leaf-TG1A-21-Ash"	2.85	42.6	0.36	-30.77	"Leaf"	"TG1A"	"21"	"Ash"	"sample"	"Coarse"	NA	"non-forested"	"North"	"TG1"	"TG1A21"	"Mix"	"Ash"	"Switzerland"	17.4313991077254	2.85827312640371	"Mix"	77.1332968831786
"88"	"Leaf-TI2F-278"	2.53	45.57	-1.7	-29.48	"Leaf"	"TI2F"	"278"	NA	"sample"	"Coarse"	NA	"forested"	"South"	"TI2"	"TI2F278"	"Alder"	"Alder"	"Switzerland"	21.005161010747	3.04476816994531	"Mono"	90.3310304409161
